,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
2840,6,CA,Placer County,mth,3,2012,gcs_mn_ecd,1.847419461777422,ecd,Economically Disadvantaged (ECD)
2842,6,CA,Placer County,mth,3,2013,gcs_mn_ecd,1.925712233887182,ecd,Economically Disadvantaged (ECD)
2844,6,CA,Placer County,mth,3,2015,gcs_mn_ecd,1.774791515503064,ecd,Economically Disadvantaged (ECD)
2846,6,CA,Placer County,mth,3,2016,gcs_mn_ecd,1.78579356498638,ecd,Economically Disadvantaged (ECD)
2848,6,CA,Placer County,mth,3,2017,gcs_mn_ecd,1.604583383555511,ecd,Economically Disadvantaged (ECD)
2850,6,CA,Placer County,mth,3,2018,gcs_mn_ecd,1.704496648299358,ecd,Economically Disadvantaged (ECD)
2852,6,CA,Placer County,mth,4,2009,gcs_mn_ecd,2.582694999006957,ecd,Economically Disadvantaged (ECD)
2854,6,CA,Placer County,mth,4,2010,gcs_mn_ecd,2.795801969429667,ecd,Economically Disadvantaged (ECD)
2856,6,CA,Placer County,mth,4,2011,gcs_mn_ecd,2.919040294956292,ecd,Economically Disadvantaged (ECD)
2858,6,CA,Placer County,mth,4,2012,gcs_mn_ecd,2.747096369143351,ecd,Economically Disadvantaged (ECD)
2860,6,CA,Placer County,mth,4,2013,gcs_mn_ecd,2.555528351518095,ecd,Economically Disadvantaged (ECD)
2862,6,CA,Placer County,mth,4,2015,gcs_mn_ecd,2.909034746823947,ecd,Economically Disadvantaged (ECD)
2864,6,CA,Placer County,mth,4,2016,gcs_mn_ecd,2.983598783561364,ecd,Economically Disadvantaged (ECD)
2866,6,CA,Placer County,mth,4,2017,gcs_mn_ecd,2.865225709347255,ecd,Economically Disadvantaged (ECD)
2868,6,CA,Placer County,mth,4,2018,gcs_mn_ecd,2.932304378294139,ecd,Economically Disadvantaged (ECD)
2870,6,CA,Placer County,mth,5,2009,gcs_mn_ecd,3.888150388732375,ecd,Economically Disadvantaged (ECD)
2872,6,CA,Placer County,mth,5,2010,gcs_mn_ecd,3.794287825246843,ecd,Economically Disadvantaged (ECD)
2874,6,CA,Placer County,mth,5,2011,gcs_mn_ecd,3.97031620460943,ecd,Economically Disadvantaged (ECD)
2876,6,CA,Placer County,mth,5,2012,gcs_mn_ecd,3.995921753761642,ecd,Economically Disadvantaged (ECD)
2878,6,CA,Placer County,mth,5,2013,gcs_mn_ecd,3.864046303978253,ecd,Economically Disadvantaged (ECD)
2880,6,CA,Placer County,mth,5,2015,gcs_mn_ecd,3.98651167134615,ecd,Economically Disadvantaged (ECD)
2882,6,CA,Placer County,mth,5,2016,gcs_mn_ecd,3.995222218413863,ecd,Economically Disadvantaged (ECD)
2884,6,CA,Placer County,mth,5,2017,gcs_mn_ecd,3.994366297460259,ecd,Economically Disadvantaged (ECD)
2886,6,CA,Placer County,mth,5,2018,gcs_mn_ecd,4.183839563617402,ecd,Economically Disadvantaged (ECD)
2888,6,CA,Placer County,mth,6,2009,gcs_mn_ecd,4.732625558852463,ecd,Economically Disadvantaged (ECD)
2890,6,CA,Placer County,mth,6,2010,gcs_mn_ecd,4.745984989596459,ecd,Economically Disadvantaged (ECD)
2892,6,CA,Placer County,mth,6,2011,gcs_mn_ecd,4.874254962881188,ecd,Economically Disadvantaged (ECD)
2894,6,CA,Placer County,mth,6,2012,gcs_mn_ecd,4.949764355242191,ecd,Economically Disadvantaged (ECD)
2896,6,CA,Placer County,mth,6,2013,gcs_mn_ecd,4.932964955927433,ecd,Economically Disadvantaged (ECD)
2898,6,CA,Placer County,mth,6,2015,gcs_mn_ecd,4.939823142913374,ecd,Economically Disadvantaged (ECD)
2900,6,CA,Placer County,mth,6,2016,gcs_mn_ecd,4.805970331792722,ecd,Economically Disadvantaged (ECD)
2902,6,CA,Placer County,mth,6,2017,gcs_mn_ecd,4.785964496818596,ecd,Economically Disadvantaged (ECD)
2904,6,CA,Placer County,mth,6,2018,gcs_mn_ecd,5.057486348072427,ecd,Economically Disadvantaged (ECD)
2911,6,CA,Placer County,mth,7,2015,gcs_mn_ecd,6.067739510050013,ecd,Economically Disadvantaged (ECD)
2913,6,CA,Placer County,mth,7,2016,gcs_mn_ecd,6.118150126905899,ecd,Economically Disadvantaged (ECD)
2915,6,CA,Placer County,mth,7,2017,gcs_mn_ecd,6.237894724959617,ecd,Economically Disadvantaged (ECD)
2917,6,CA,Placer County,mth,7,2018,gcs_mn_ecd,6.245797609895526,ecd,Economically Disadvantaged (ECD)
2924,6,CA,Placer County,mth,8,2015,gcs_mn_ecd,7.145779289943327,ecd,Economically Disadvantaged (ECD)
2926,6,CA,Placer County,mth,8,2016,gcs_mn_ecd,7.277013211465027,ecd,Economically Disadvantaged (ECD)
2928,6,CA,Placer County,mth,8,2017,gcs_mn_ecd,7.37587566290905,ecd,Economically Disadvantaged (ECD)
2930,6,CA,Placer County,mth,8,2018,gcs_mn_ecd,7.229034471147974,ecd,Economically Disadvantaged (ECD)
2932,6,CA,Plumas County,mth,3,2009,gcs_mn_ecd,1.530373986004819,ecd,Economically Disadvantaged (ECD)
2934,6,CA,Plumas County,mth,3,2010,gcs_mn_ecd,2.738194923758187,ecd,Economically Disadvantaged (ECD)
2936,6,CA,Plumas County,mth,3,2011,gcs_mn_ecd,1.817759494175108,ecd,Economically Disadvantaged (ECD)
2938,6,CA,Plumas County,mth,3,2012,gcs_mn_ecd,1.49656769962738,ecd,Economically Disadvantaged (ECD)
2940,6,CA,Plumas County,mth,3,2013,gcs_mn_ecd,2.124853793272126,ecd,Economically Disadvantaged (ECD)
2942,6,CA,Plumas County,mth,3,2015,gcs_mn_ecd,1.898518796709178,ecd,Economically Disadvantaged (ECD)
2944,6,CA,Plumas County,mth,3,2017,gcs_mn_ecd,0.9021577091213248,ecd,Economically Disadvantaged (ECD)
2946,6,CA,Plumas County,mth,3,2018,gcs_mn_ecd,1.228343676818875,ecd,Economically Disadvantaged (ECD)
2948,6,CA,Plumas County,mth,4,2009,gcs_mn_ecd,2.815787729501497,ecd,Economically Disadvantaged (ECD)
2950,6,CA,Plumas County,mth,4,2010,gcs_mn_ecd,3.041473217617396,ecd,Economically Disadvantaged (ECD)
2952,6,CA,Plumas County,mth,4,2011,gcs_mn_ecd,3.135077841382779,ecd,Economically Disadvantaged (ECD)
2954,6,CA,Plumas County,mth,4,2012,gcs_mn_ecd,2.529433323693606,ecd,Economically Disadvantaged (ECD)
2956,6,CA,Plumas County,mth,4,2013,gcs_mn_ecd,3.220733922220366,ecd,Economically Disadvantaged (ECD)
2958,6,CA,Plumas County,mth,4,2015,gcs_mn_ecd,3.571239025142737,ecd,Economically Disadvantaged (ECD)
2960,6,CA,Plumas County,mth,4,2017,gcs_mn_ecd,1.144414977089379,ecd,Economically Disadvantaged (ECD)
2962,6,CA,Plumas County,mth,4,2018,gcs_mn_ecd,1.515953004350843,ecd,Economically Disadvantaged (ECD)
2964,6,CA,Plumas County,mth,5,2009,gcs_mn_ecd,3.857082354182222,ecd,Economically Disadvantaged (ECD)
2966,6,CA,Plumas County,mth,5,2010,gcs_mn_ecd,3.733310446223154,ecd,Economically Disadvantaged (ECD)
2968,6,CA,Plumas County,mth,5,2011,gcs_mn_ecd,3.409297412550459,ecd,Economically Disadvantaged (ECD)
2970,6,CA,Plumas County,mth,5,2012,gcs_mn_ecd,3.097883901619053,ecd,Economically Disadvantaged (ECD)
2972,6,CA,Plumas County,mth,5,2013,gcs_mn_ecd,3.961965170974889,ecd,Economically Disadvantaged (ECD)
2974,6,CA,Plumas County,mth,5,2015,gcs_mn_ecd,4.452337652241807,ecd,Economically Disadvantaged (ECD)
2976,6,CA,Plumas County,mth,5,2017,gcs_mn_ecd,3.300488947107139,ecd,Economically Disadvantaged (ECD)
2978,6,CA,Plumas County,mth,5,2018,gcs_mn_ecd,2.848663093920887,ecd,Economically Disadvantaged (ECD)
2980,6,CA,Plumas County,mth,6,2009,gcs_mn_ecd,4.427659747297213,ecd,Economically Disadvantaged (ECD)
2982,6,CA,Plumas County,mth,6,2010,gcs_mn_ecd,5.149066593978994,ecd,Economically Disadvantaged (ECD)
2984,6,CA,Plumas County,mth,6,2011,gcs_mn_ecd,4.996340255120938,ecd,Economically Disadvantaged (ECD)
2986,6,CA,Plumas County,mth,6,2012,gcs_mn_ecd,4.340041420239391,ecd,Economically Disadvantaged (ECD)
2988,6,CA,Plumas County,mth,6,2013,gcs_mn_ecd,4.914087870559531,ecd,Economically Disadvantaged (ECD)
2990,6,CA,Plumas County,mth,6,2015,gcs_mn_ecd,5.317408455263605,ecd,Economically Disadvantaged (ECD)
2992,6,CA,Plumas County,mth,6,2016,gcs_mn_ecd,,ecd,Economically Disadvantaged (ECD)
2994,6,CA,Plumas County,mth,6,2017,gcs_mn_ecd,4.298982982804442,ecd,Economically Disadvantaged (ECD)
3001,6,CA,Plumas County,mth,7,2015,gcs_mn_ecd,5.644568385716213,ecd,Economically Disadvantaged (ECD)
3003,6,CA,Plumas County,mth,7,2017,gcs_mn_ecd,5.854827693175617,ecd,Economically Disadvantaged (ECD)
3004,6,CA,Plumas County,mth,7,2018,gcs_mn_ecd,,ecd,Economically Disadvantaged (ECD)
3011,6,CA,Plumas County,mth,8,2015,gcs_mn_ecd,6.447026110422557,ecd,Economically Disadvantaged (ECD)
3013,6,CA,Plumas County,mth,8,2017,gcs_mn_ecd,6.193666590607848,ecd,Economically Disadvantaged (ECD)
3015,6,CA,Riverside County,mth,3,2009,gcs_mn_ecd,1.495609675639638,ecd,Economically Disadvantaged (ECD)
3017,6,CA,Riverside County,mth,3,2010,gcs_mn_ecd,1.694874678795663,ecd,Economically Disadvantaged (ECD)
3019,6,CA,Riverside County,mth,3,2011,gcs_mn_ecd,1.837966155327687,ecd,Economically Disadvantaged (ECD)
3021,6,CA,Riverside County,mth,3,2012,gcs_mn_ecd,1.732247314895013,ecd,Economically Disadvantaged (ECD)
3023,6,CA,Riverside County,mth,3,2013,gcs_mn_ecd,1.648788469757684,ecd,Economically Disadvantaged (ECD)
3025,6,CA,Riverside County,mth,3,2015,gcs_mn_ecd,1.250581316679612,ecd,Economically Disadvantaged (ECD)
3027,6,CA,Riverside County,mth,3,2016,gcs_mn_ecd,1.290989657856176,ecd,Economically Disadvantaged (ECD)
3029,6,CA,Riverside County,mth,3,2017,gcs_mn_ecd,1.368954375553928,ecd,Economically Disadvantaged (ECD)
3031,6,CA,Riverside County,mth,3,2018,gcs_mn_ecd,1.48939509205726,ecd,Economically Disadvantaged (ECD)
3033,6,CA,Riverside County,mth,4,2009,gcs_mn_ecd,2.396117111594894,ecd,Economically Disadvantaged (ECD)
3035,6,CA,Riverside County,mth,4,2010,gcs_mn_ecd,2.617558650832966,ecd,Economically Disadvantaged (ECD)
3037,6,CA,Riverside County,mth,4,2011,gcs_mn_ecd,2.730373301137331,ecd,Economically Disadvantaged (ECD)
3039,6,CA,Riverside County,mth,4,2012,gcs_mn_ecd,2.763492000836789,ecd,Economically Disadvantaged (ECD)
3041,6,CA,Riverside County,mth,4,2013,gcs_mn_ecd,2.733410247429811,ecd,Economically Disadvantaged (ECD)
3043,6,CA,Riverside County,mth,4,2015,gcs_mn_ecd,2.236564215158399,ecd,Economically Disadvantaged (ECD)
3045,6,CA,Riverside County,mth,4,2016,gcs_mn_ecd,2.223605847336145,ecd,Economically Disadvantaged (ECD)
3047,6,CA,Riverside County,mth,4,2017,gcs_mn_ecd,2.322348329753749,ecd,Economically Disadvantaged (ECD)
3049,6,CA,Riverside County,mth,4,2018,gcs_mn_ecd,2.353916037509371,ecd,Economically Disadvantaged (ECD)
3051,6,CA,Riverside County,mth,5,2009,gcs_mn_ecd,3.436794668619771,ecd,Economically Disadvantaged (ECD)
3053,6,CA,Riverside County,mth,5,2010,gcs_mn_ecd,3.59590813739402,ecd,Economically Disadvantaged (ECD)
3055,6,CA,Riverside County,mth,5,2011,gcs_mn_ecd,3.656224290602683,ecd,Economically Disadvantaged (ECD)
3057,6,CA,Riverside County,mth,5,2012,gcs_mn_ecd,3.746845120764456,ecd,Economically Disadvantaged (ECD)
3059,6,CA,Riverside County,mth,5,2013,gcs_mn_ecd,3.681614620747388,ecd,Economically Disadvantaged (ECD)
3061,6,CA,Riverside County,mth,5,2015,gcs_mn_ecd,3.148708887385667,ecd,Economically Disadvantaged (ECD)
3063,6,CA,Riverside County,mth,5,2016,gcs_mn_ecd,3.126337907521614,ecd,Economically Disadvantaged (ECD)
3065,6,CA,Riverside County,mth,5,2017,gcs_mn_ecd,3.196508859927155,ecd,Economically Disadvantaged (ECD)
3067,6,CA,Riverside County,mth,5,2018,gcs_mn_ecd,3.325967960421339,ecd,Economically Disadvantaged (ECD)
3069,6,CA,Riverside County,mth,6,2009,gcs_mn_ecd,4.215675355827773,ecd,Economically Disadvantaged (ECD)
3071,6,CA,Riverside County,mth,6,2010,gcs_mn_ecd,4.433323848043048,ecd,Economically Disadvantaged (ECD)
3073,6,CA,Riverside County,mth,6,2011,gcs_mn_ecd,4.591862693662915,ecd,Economically Disadvantaged (ECD)
3075,6,CA,Riverside County,mth,6,2012,gcs_mn_ecd,4.557320485718504,ecd,Economically Disadvantaged (ECD)
3077,6,CA,Riverside County,mth,6,2013,gcs_mn_ecd,4.684650967174133,ecd,Economically Disadvantaged (ECD)
3079,6,CA,Riverside County,mth,6,2015,gcs_mn_ecd,4.132603502540558,ecd,Economically Disadvantaged (ECD)
3081,6,CA,Riverside County,mth,6,2016,gcs_mn_ecd,4.209891677458982,ecd,Economically Disadvantaged (ECD)
3083,6,CA,Riverside County,mth,6,2017,gcs_mn_ecd,4.18681597608089,ecd,Economically Disadvantaged (ECD)
3085,6,CA,Riverside County,mth,6,2018,gcs_mn_ecd,4.122463937608549,ecd,Economically Disadvantaged (ECD)
3092,6,CA,Riverside County,mth,7,2015,gcs_mn_ecd,4.980206724008501,ecd,Economically Disadvantaged (ECD)
3094,6,CA,Riverside County,mth,7,2016,gcs_mn_ecd,5.031128788202762,ecd,Economically Disadvantaged (ECD)
3096,6,CA,Riverside County,mth,7,2017,gcs_mn_ecd,5.032906147444034,ecd,Economically Disadvantaged (ECD)
3098,6,CA,Riverside County,mth,7,2018,gcs_mn_ecd,4.956268248698525,ecd,Economically Disadvantaged (ECD)
3105,6,CA,Riverside County,mth,8,2015,gcs_mn_ecd,5.995650042318643,ecd,Economically Disadvantaged (ECD)
3107,6,CA,Riverside County,mth,8,2016,gcs_mn_ecd,6.0516313898809,ecd,Economically Disadvantaged (ECD)
3109,6,CA,Riverside County,mth,8,2017,gcs_mn_ecd,5.967439552651542,ecd,Economically Disadvantaged (ECD)
3111,6,CA,Riverside County,mth,8,2018,gcs_mn_ecd,5.85706152921591,ecd,Economically Disadvantaged (ECD)
3113,6,CA,Sacramento County,mth,3,2009,gcs_mn_ecd,1.313380618810727,ecd,Economically Disadvantaged (ECD)
3115,6,CA,Sacramento County,mth,3,2010,gcs_mn_ecd,1.486841246253226,ecd,Economically Disadvantaged (ECD)
3117,6,CA,Sacramento County,mth,3,2011,gcs_mn_ecd,1.729955302998676,ecd,Economically Disadvantaged (ECD)
3119,6,CA,Sacramento County,mth,3,2012,gcs_mn_ecd,1.512970452833633,ecd,Economically Disadvantaged (ECD)
3121,6,CA,Sacramento County,mth,3,2013,gcs_mn_ecd,1.258541726702636,ecd,Economically Disadvantaged (ECD)
3123,6,CA,Sacramento County,mth,3,2015,gcs_mn_ecd,1.276046982218266,ecd,Economically Disadvantaged (ECD)
3125,6,CA,Sacramento County,mth,3,2016,gcs_mn_ecd,1.070036944035287,ecd,Economically Disadvantaged (ECD)
3127,6,CA,Sacramento County,mth,3,2017,gcs_mn_ecd,1.117194989273919,ecd,Economically Disadvantaged (ECD)
3129,6,CA,Sacramento County,mth,3,2018,gcs_mn_ecd,1.300307556103807,ecd,Economically Disadvantaged (ECD)
3131,6,CA,Sacramento County,mth,4,2009,gcs_mn_ecd,2.376547741510551,ecd,Economically Disadvantaged (ECD)
3133,6,CA,Sacramento County,mth,4,2010,gcs_mn_ecd,2.580802536491864,ecd,Economically Disadvantaged (ECD)
3135,6,CA,Sacramento County,mth,4,2011,gcs_mn_ecd,2.551385337411024,ecd,Economically Disadvantaged (ECD)
3137,6,CA,Sacramento County,mth,4,2012,gcs_mn_ecd,2.435775982472273,ecd,Economically Disadvantaged (ECD)
3139,6,CA,Sacramento County,mth,4,2013,gcs_mn_ecd,2.271422986606197,ecd,Economically Disadvantaged (ECD)
3141,6,CA,Sacramento County,mth,4,2015,gcs_mn_ecd,2.309342724143996,ecd,Economically Disadvantaged (ECD)
3143,6,CA,Sacramento County,mth,4,2016,gcs_mn_ecd,2.322575283578507,ecd,Economically Disadvantaged (ECD)
3145,6,CA,Sacramento County,mth,4,2017,gcs_mn_ecd,2.167505766946722,ecd,Economically Disadvantaged (ECD)
3147,6,CA,Sacramento County,mth,4,2018,gcs_mn_ecd,2.284309360554085,ecd,Economically Disadvantaged (ECD)
3149,6,CA,Sacramento County,mth,5,2009,gcs_mn_ecd,3.226534484087462,ecd,Economically Disadvantaged (ECD)
3151,6,CA,Sacramento County,mth,5,2010,gcs_mn_ecd,3.487030366467814,ecd,Economically Disadvantaged (ECD)
3153,6,CA,Sacramento County,mth,5,2011,gcs_mn_ecd,3.371052360341809,ecd,Economically Disadvantaged (ECD)
3155,6,CA,Sacramento County,mth,5,2012,gcs_mn_ecd,3.319002098690173,ecd,Economically Disadvantaged (ECD)
3157,6,CA,Sacramento County,mth,5,2013,gcs_mn_ecd,3.283168261865435,ecd,Economically Disadvantaged (ECD)
3159,6,CA,Sacramento County,mth,5,2015,gcs_mn_ecd,3.314983453014148,ecd,Economically Disadvantaged (ECD)
3161,6,CA,Sacramento County,mth,5,2016,gcs_mn_ecd,3.240127126477439,ecd,Economically Disadvantaged (ECD)
3163,6,CA,Sacramento County,mth,5,2017,gcs_mn_ecd,3.139051292274467,ecd,Economically Disadvantaged (ECD)
3165,6,CA,Sacramento County,mth,5,2018,gcs_mn_ecd,3.063710097362603,ecd,Economically Disadvantaged (ECD)
3167,6,CA,Sacramento County,mth,6,2009,gcs_mn_ecd,4.478238498814084,ecd,Economically Disadvantaged (ECD)
3169,6,CA,Sacramento County,mth,6,2010,gcs_mn_ecd,4.570623642277964,ecd,Economically Disadvantaged (ECD)
3171,6,CA,Sacramento County,mth,6,2011,gcs_mn_ecd,4.681858484965193,ecd,Economically Disadvantaged (ECD)
3173,6,CA,Sacramento County,mth,6,2012,gcs_mn_ecd,4.496798818564992,ecd,Economically Disadvantaged (ECD)
3175,6,CA,Sacramento County,mth,6,2013,gcs_mn_ecd,4.485187729348058,ecd,Economically Disadvantaged (ECD)
3177,6,CA,Sacramento County,mth,6,2015,gcs_mn_ecd,4.405889909670592,ecd,Economically Disadvantaged (ECD)
3179,6,CA,Sacramento County,mth,6,2016,gcs_mn_ecd,4.420367794566581,ecd,Economically Disadvantaged (ECD)
3181,6,CA,Sacramento County,mth,6,2017,gcs_mn_ecd,4.36132554048802,ecd,Economically Disadvantaged (ECD)
3183,6,CA,Sacramento County,mth,6,2018,gcs_mn_ecd,4.438273373883735,ecd,Economically Disadvantaged (ECD)
3190,6,CA,Sacramento County,mth,7,2015,gcs_mn_ecd,5.462892557381783,ecd,Economically Disadvantaged (ECD)
3192,6,CA,Sacramento County,mth,7,2016,gcs_mn_ecd,5.366983188544976,ecd,Economically Disadvantaged (ECD)
3194,6,CA,Sacramento County,mth,7,2017,gcs_mn_ecd,5.424658839356784,ecd,Economically Disadvantaged (ECD)
3196,6,CA,Sacramento County,mth,7,2018,gcs_mn_ecd,5.29299030236803,ecd,Economically Disadvantaged (ECD)
3203,6,CA,Sacramento County,mth,8,2015,gcs_mn_ecd,6.379129214078673,ecd,Economically Disadvantaged (ECD)
3205,6,CA,Sacramento County,mth,8,2016,gcs_mn_ecd,6.213967255752988,ecd,Economically Disadvantaged (ECD)
3207,6,CA,Sacramento County,mth,8,2017,gcs_mn_ecd,6.233912075368117,ecd,Economically Disadvantaged (ECD)
3209,6,CA,Sacramento County,mth,8,2018,gcs_mn_ecd,6.23443772170604,ecd,Economically Disadvantaged (ECD)
3211,6,CA,San Benito County,mth,3,2009,gcs_mn_ecd,1.327981810920966,ecd,Economically Disadvantaged (ECD)
3213,6,CA,San Benito County,mth,3,2010,gcs_mn_ecd,1.148207129170625,ecd,Economically Disadvantaged (ECD)
3215,6,CA,San Benito County,mth,3,2011,gcs_mn_ecd,1.174904683482312,ecd,Economically Disadvantaged (ECD)
3217,6,CA,San Benito County,mth,3,2012,gcs_mn_ecd,1.231407531695915,ecd,Economically Disadvantaged (ECD)
3219,6,CA,San Benito County,mth,3,2013,gcs_mn_ecd,0.9201883302494712,ecd,Economically Disadvantaged (ECD)
3221,6,CA,San Benito County,mth,3,2015,gcs_mn_ecd,1.085245060988195,ecd,Economically Disadvantaged (ECD)
3223,6,CA,San Benito County,mth,3,2016,gcs_mn_ecd,1.548673933378303,ecd,Economically Disadvantaged (ECD)
3225,6,CA,San Benito County,mth,3,2017,gcs_mn_ecd,1.955816112412377,ecd,Economically Disadvantaged (ECD)
3227,6,CA,San Benito County,mth,3,2018,gcs_mn_ecd,1.681669981830672,ecd,Economically Disadvantaged (ECD)
3229,6,CA,San Benito County,mth,4,2009,gcs_mn_ecd,2.209328226716534,ecd,Economically Disadvantaged (ECD)
3231,6,CA,San Benito County,mth,4,2010,gcs_mn_ecd,2.091884200071749,ecd,Economically Disadvantaged (ECD)
3233,6,CA,San Benito County,mth,4,2011,gcs_mn_ecd,2.119433299206776,ecd,Economically Disadvantaged (ECD)
3235,6,CA,San Benito County,mth,4,2012,gcs_mn_ecd,2.162300929149445,ecd,Economically Disadvantaged (ECD)
3237,6,CA,San Benito County,mth,4,2013,gcs_mn_ecd,2.077107943505467,ecd,Economically Disadvantaged (ECD)
3239,6,CA,San Benito County,mth,4,2015,gcs_mn_ecd,2.227613314663622,ecd,Economically Disadvantaged (ECD)
3241,6,CA,San Benito County,mth,4,2016,gcs_mn_ecd,2.27990693252895,ecd,Economically Disadvantaged (ECD)
3243,6,CA,San Benito County,mth,4,2017,gcs_mn_ecd,2.61305013286358,ecd,Economically Disadvantaged (ECD)
3245,6,CA,San Benito County,mth,4,2018,gcs_mn_ecd,3.063630661105877,ecd,Economically Disadvantaged (ECD)
3247,6,CA,San Benito County,mth,5,2009,gcs_mn_ecd,2.648565085113728,ecd,Economically Disadvantaged (ECD)
3249,6,CA,San Benito County,mth,5,2010,gcs_mn_ecd,2.699909380185088,ecd,Economically Disadvantaged (ECD)
3251,6,CA,San Benito County,mth,5,2011,gcs_mn_ecd,2.88624968184492,ecd,Economically Disadvantaged (ECD)
3253,6,CA,San Benito County,mth,5,2012,gcs_mn_ecd,2.486019117989732,ecd,Economically Disadvantaged (ECD)
3255,6,CA,San Benito County,mth,5,2013,gcs_mn_ecd,2.811438964530706,ecd,Economically Disadvantaged (ECD)
3257,6,CA,San Benito County,mth,5,2015,gcs_mn_ecd,2.94924405521638,ecd,Economically Disadvantaged (ECD)
3259,6,CA,San Benito County,mth,5,2016,gcs_mn_ecd,3.402545850128454,ecd,Economically Disadvantaged (ECD)
3261,6,CA,San Benito County,mth,5,2017,gcs_mn_ecd,4.016398222406897,ecd,Economically Disadvantaged (ECD)
3263,6,CA,San Benito County,mth,5,2018,gcs_mn_ecd,4.053994774696636,ecd,Economically Disadvantaged (ECD)
3265,6,CA,San Benito County,mth,6,2009,gcs_mn_ecd,3.860894876010286,ecd,Economically Disadvantaged (ECD)
3267,6,CA,San Benito County,mth,6,2010,gcs_mn_ecd,3.43356831041412,ecd,Economically Disadvantaged (ECD)
3269,6,CA,San Benito County,mth,6,2011,gcs_mn_ecd,3.598456444299797,ecd,Economically Disadvantaged (ECD)
3271,6,CA,San Benito County,mth,6,2012,gcs_mn_ecd,3.709164247307265,ecd,Economically Disadvantaged (ECD)
3273,6,CA,San Benito County,mth,6,2013,gcs_mn_ecd,3.45698492759608,ecd,Economically Disadvantaged (ECD)
3275,6,CA,San Benito County,mth,6,2015,gcs_mn_ecd,3.802672765742088,ecd,Economically Disadvantaged (ECD)
3277,6,CA,San Benito County,mth,6,2016,gcs_mn_ecd,4.072765112285244,ecd,Economically Disadvantaged (ECD)
3279,6,CA,San Benito County,mth,6,2017,gcs_mn_ecd,4.59501659993577,ecd,Economically Disadvantaged (ECD)
3281,6,CA,San Benito County,mth,6,2018,gcs_mn_ecd,4.287245461547302,ecd,Economically Disadvantaged (ECD)
3288,6,CA,San Benito County,mth,7,2015,gcs_mn_ecd,5.091071886335119,ecd,Economically Disadvantaged (ECD)
3290,6,CA,San Benito County,mth,7,2016,gcs_mn_ecd,5.240026709241369,ecd,Economically Disadvantaged (ECD)
3292,6,CA,San Benito County,mth,7,2017,gcs_mn_ecd,5.185142437423429,ecd,Economically Disadvantaged (ECD)
3294,6,CA,San Benito County,mth,7,2018,gcs_mn_ecd,5.699710731589501,ecd,Economically Disadvantaged (ECD)
3301,6,CA,San Benito County,mth,8,2015,gcs_mn_ecd,6.378215759634151,ecd,Economically Disadvantaged (ECD)
3303,6,CA,San Benito County,mth,8,2016,gcs_mn_ecd,6.262173724100265,ecd,Economically Disadvantaged (ECD)
3305,6,CA,San Benito County,mth,8,2017,gcs_mn_ecd,6.936187126324238,ecd,Economically Disadvantaged (ECD)
3307,6,CA,San Benito County,mth,8,2018,gcs_mn_ecd,6.425658029226341,ecd,Economically Disadvantaged (ECD)
3309,6,CA,San Bernardino County,mth,3,2009,gcs_mn_ecd,1.427530190907734,ecd,Economically Disadvantaged (ECD)
3311,6,CA,San Bernardino County,mth,3,2010,gcs_mn_ecd,1.598240868066343,ecd,Economically Disadvantaged (ECD)
3313,6,CA,San Bernardino County,mth,3,2011,gcs_mn_ecd,1.652224044651594,ecd,Economically Disadvantaged (ECD)
3315,6,CA,San Bernardino County,mth,3,2012,gcs_mn_ecd,1.600989805208094,ecd,Economically Disadvantaged (ECD)
3317,6,CA,San Bernardino County,mth,3,2013,gcs_mn_ecd,1.443599845238627,ecd,Economically Disadvantaged (ECD)
3319,6,CA,San Bernardino County,mth,3,2015,gcs_mn_ecd,1.060083978345753,ecd,Economically Disadvantaged (ECD)
3321,6,CA,San Bernardino County,mth,3,2016,gcs_mn_ecd,1.086966420747647,ecd,Economically Disadvantaged (ECD)
3323,6,CA,San Bernardino County,mth,3,2017,gcs_mn_ecd,1.132357027063213,ecd,Economically Disadvantaged (ECD)
3325,6,CA,San Bernardino County,mth,3,2018,gcs_mn_ecd,1.350141304332642,ecd,Economically Disadvantaged (ECD)
3327,6,CA,San Bernardino County,mth,4,2009,gcs_mn_ecd,2.361832776577725,ecd,Economically Disadvantaged (ECD)
3329,6,CA,San Bernardino County,mth,4,2010,gcs_mn_ecd,2.549293199524445,ecd,Economically Disadvantaged (ECD)
3331,6,CA,San Bernardino County,mth,4,2011,gcs_mn_ecd,2.670057563650713,ecd,Economically Disadvantaged (ECD)
3333,6,CA,San Bernardino County,mth,4,2012,gcs_mn_ecd,2.59177783333888,ecd,Economically Disadvantaged (ECD)
3335,6,CA,San Bernardino County,mth,4,2013,gcs_mn_ecd,2.619632414222524,ecd,Economically Disadvantaged (ECD)
3337,6,CA,San Bernardino County,mth,4,2015,gcs_mn_ecd,1.945999185037402,ecd,Economically Disadvantaged (ECD)
3339,6,CA,San Bernardino County,mth,4,2016,gcs_mn_ecd,1.997069435153015,ecd,Economically Disadvantaged (ECD)
3341,6,CA,San Bernardino County,mth,4,2017,gcs_mn_ecd,2.024767771459526,ecd,Economically Disadvantaged (ECD)
3343,6,CA,San Bernardino County,mth,4,2018,gcs_mn_ecd,2.146002551777703,ecd,Economically Disadvantaged (ECD)
